Count of cars produced by each manufacturer: 
============================================================
MANUFACTURER,# CARS
ALFA ROMEO,1
Acura,12
Aston Martin Lagonda Ltd,10
Audi,41
BMW,107
Bentley,7
Buick,20
CHEVROLET,1
Cadillac,26
Chevrolet,86
Chrysler,11
Dodge,36
FIAT,11
Ferrari,12
Ford,86
GMC,43
HYUNDAI MOTOR COMPANY,43
Honda,29
INFINITI,25
Jaguar,21
Jeep,38
KIA MOTORS CORPORATION,41
LEXUS,35
Lamborghini,4
Land Rover,11
Lincoln,23
MASERATI,8
MAZDA,22
McLaren,4
Mercedes-Benz,76
Mini,34
Mitsubishi Motors Corporation,13
NISSAN,38
Pagani Automobili S.p.A.,1
Porsche,68
RAM,11
Rolls-Royce Motor Cars Limited,8
Roush,4
SCION,8
Subaru,21
TOYOTA,50
Volkswagen,33
Volvo,26
============================================================
Number of manufacturers per country: 
============================================================
COUNTRY,# MANUFACTURERS
Germany,6
Hong Kong,1
Italy,6
Japan,8
South Korea,2
Sweden,1
UK,6
USA,13
============================================================
What country produced the most fuel efficient Car: 
============================================================
COUNTRY,CAR,COMB FE
Japan,PRIUS Eco,56
============================================================
Count of cars produced by each Manufacturer by Cylinder: 
============================================================
MANUFACTURER,# CYLINDERS,# CARS
ALFA ROMEO,4,1
Acura,4,2
Acura,6,10
Aston Martin Lagonda Ltd,12,4
Aston Martin Lagonda Ltd,8,6
Audi,12,1
Audi,4,21
Audi,6,14
Audi,8,5
BMW,4,32
BMW,6,52
BMW,8,23
Bentley,12,3
Bentley,8,4
Buick,4,15
Buick,6,5
CHEVROLET,4,1
Cadillac,4,7
Cadillac,6,16
Cadillac,8,3
Chevrolet,4,41
Chevrolet,6,15
Chevrolet,8,30
Chrysler,4,2
Chrysler,6,8
Chrysler,8,1
Dodge,10,1
Dodge,4,10
Dodge,6,11
Dodge,8,14
FIAT,4,11
Ferrari,12,8
Ferrari,8,4
Ford,3,3
Ford,4,41
Ford,6,34
Ford,8,8
GMC,4,8
GMC,6,9
GMC,8,26
HYUNDAI MOTOR COMPANY,4,31
HYUNDAI MOTOR COMPANY,6,10
HYUNDAI MOTOR COMPANY,8,2
Honda,4,21
Honda,6,8
INFINITI,4,4
INFINITI,6,17
INFINITI,8,4
Jaguar,6,16
Jaguar,8,5
Jeep,4,24
Jeep,6,12
Jeep,8,2
KIA MOTORS CORPORATION,4,32
KIA MOTORS CORPORATION,6,8
KIA MOTORS CORPORATION,8,1
LEXUS,4,11
LEXUS,6,15
LEXUS,8,9
Lamborghini,10,2
Lamborghini,12,2
Land Rover,4,2
Land Rover,6,6
Land Rover,8,3
Lincoln,4,7
Lincoln,6,16
MASERATI,6,5
MASERATI,8,3
MAZDA,4,22
McLaren,8,4
Mercedes-Benz,12,6
Mercedes-Benz,3,2
Mercedes-Benz,4,18
Mercedes-Benz,6,23
Mercedes-Benz,8,27
Mini,4,34
Mitsubishi Motors Corporation,4,12
Mitsubishi Motors Corporation,6,1
NISSAN,4,21
NISSAN,6,17
Pagani Automobili S.p.A.,12,1
Porsche,6,61
Porsche,8,7
RAM,4,1
RAM,6,6
RAM,8,4
Rolls-Royce Motor Cars Limited,12,8
Roush,8,4
SCION,4,8
Subaru,4,19
Subaru,6,2
TOYOTA,4,25
TOYOTA,6,15
TOYOTA,8,10
Volkswagen,4,29
Volkswagen,6,4
Volvo,4,14
Volvo,5,7
Volvo,6,5
============================================================
Rank the count of cars by MPG in the following ranges (1 -15, 15-20, 21-25, 26+) : 
============================================================
MPG RANGE,# CARS
21-25,410
26+,390
15-20,346
1-15,59
============================================================
Rank cars by best performing Combined MPG: 
============================================================
BRAND,CAR,COMB FE (MPG)
TOYOTA,PRIUS Eco,56
TOYOTA,PRIUS,52
TOYOTA,PRIUS c,50
Chevrolet,MALIBU,46
Volkswagen,Jetta Hybrid,44
LEXUS,CT 200h,42
Ford,FUSION HYBRID FWD,42
HYUNDAI MOTOR COMPANY,Sonata HYBRID SE,42
TOYOTA,PRIUS v,42
HYUNDAI MOTOR COMPANY,Sonata HYBRID,41
TOYOTA,CAMRY HYBRID LE,41
LEXUS,ES 300h,40
Lincoln,MKZ HYBRID FWD,40
TOYOTA,AVALON HYBRID,40
TOYOTA,CAMRY HYBRID XLE/SE,40
Ford,C-MAX Hybrid FWD,40
KIA MOTORS CORPORATION,Optima HYBRID,38
Honda,CR-Z,37
SCION,iA,37
MAZDA,MAZDA 2,37
KIA MOTORS CORPORATION,Optima HYBRID EX,37
Mercedes-Benz,Smart fortwo (COUPE),36
Ford,Fiesta SFE FWD,36
BMW,328d,36
Honda,FIT,36
Mercedes-Benz,Smart fortwo (COUPE),35
Chevrolet,SPARK,35
SCION,iA,35
Chevrolet,CRUZE,35
Ford,FOCUS FWD,35
Honda,CIVIC 2Dr,35
MAZDA,MAZDA 2,35
NISSAN,VERSA,35
Honda,CIVIC 4Dr,35
Honda,CIVIC 4Dr,35
TOYOTA,COROLLA LE ECO,35
Honda,FIT,35
Honda,CR-Z,34
FIAT,500,34
Chevrolet,SPARK,34
BMW,328d xDrive,34
Chevrolet,CRUZE PREMIER,34
Honda,CIVIC 2Dr,34
MAZDA,MAZDA3 4-Door,34
NISSAN,SENTRA FE+,34
TOYOTA,COROLLA LE ECO,34
BMW,328d xDrive Sports Wagon,34
Mini,MINI COOPER HARDTOP 4 DOOR,33
Chevrolet,CRUZE,33
Chevrolet,SONIC,33
MAZDA,MAZDA3 4-Door,33
MAZDA,MAZDA3 4-Door,33
TOYOTA,YARIS,33
Volkswagen,Jetta,33
Chevrolet,CRUZE LIMITED ECO,33
MAZDA,MAZDA3 5-Door,33
MAZDA,MAZDA3 5-Door,33
Mercedes-Benz,E 250 BLUETEC,33
Chevrolet,SONIC 5,33
LEXUS,NX 300h,33
TOYOTA,RAV4 HYBRID AWD,33
Mini,MINI COOPER HARDTOP 2 DOOR,32
Ford,FOCUS FWD,32
MAZDA,MAZDA3 4-Door,32
TOYOTA,YARIS,32
Volkswagen,Jetta,32
Dodge,Dart Aero,32
Dodge,Dart Aero,32
HYUNDAI MOTOR COMPANY,Elantra,32
MAZDA,MAZDA 6,32
MAZDA,MAZDA3 5-Door,32
NISSAN,SENTRA,32
SCION,iM,32
TOYOTA,COROLLA,32
TOYOTA,COROLLA,32
HYUNDAI MOTOR COMPANY,Sonata,32
KIA MOTORS CORPORATION,Optima,32
Honda,FIT,32
LEXUS,NX 300h AWD,32
Mini,Mini Cooper Convertible,31
Mini,Mini Cooper Convertible,31
Ford,Fiesta FWD,31
Ford,Fiesta FWD,31
Mini,MINI COOPER HARDTOP 2 DOOR,31
Mini,MINI COOPER HARDTOP 4 DOOR,31
Chevrolet,SONIC,31
Ford,FOCUS FWD,31
Ford,Focus FWD FFV,31
Honda,CIVIC 2Dr,31
HYUNDAI MOTOR COMPANY,Accent,31
HYUNDAI MOTOR COMPANY,Veloster,31
KIA MOTORS CORPORATION,Rio,31
KIA MOTORS CORPORATION,Rio,31
KIA MOTORS CORPORATION,Rio ECO,31
MAZDA,CX-3 2WD,31
Subaru,IMPREZA,31
Chevrolet,CRUZE LIMITED ECO,31
Chevrolet,MALIBU,31
Dodge,Dart,31
Honda,ACCORD,31
Honda,CIVIC 4Dr,31
HYUNDAI MOTOR COMPANY,Elantra,31
HYUNDAI MOTOR COMPANY,Elantra Limited,31
INFINITI,Q70 HYBRID,31
KIA MOTORS CORPORATION,Forte,31
LEXUS,GS 450h,31
MAZDA,MAZDA 6,31
MAZDA,MAZDA3 5-Door,31
Mercedes-Benz,E 250 BLUETEC 4MATIC,31
NISSAN,ALTIMA,31
SCION,iM,31
TOYOTA,COROLLA,31
TOYOTA,COROLLA,31
Chevrolet,SONIC 5,31
Subaru,IMPREZA SPORT,31
Subaru,IMPREZA WAGON,31
Honda,HR-V 2WD,31
Honda,HR-V 2WD,31
Subaru,CROSSTREK HYBRID,31
MAZDA,MX-5,30
MAZDA,MX-5,30
FIAT,500,30
FIAT,500,30
FIAT,500 Abarth,30
Chevrolet,SONIC,30
Chevrolet,SONIC RS,30
Ford,FOCUS FWD,30
Ford,FOCUS FWD,30
Ford,Focus FWD FFV,30
Ford,Focus FWD FFV,30
HYUNDAI MOTOR COMPANY,Accent,30
HYUNDAI MOTOR COMPANY,Veloster,30
INFINITI,Q50 HYBRID,30
Mercedes-Benz,CLA 250,30
Mitsubishi Motors Corporation,LANCER,30
NISSAN,VERSA,30
NISSAN,VERSA,30
Volkswagen,Golf,30
Volvo,S60 FWD,30
Acura,RLX,30
Audi,A6 quattro,30
Audi,A7 quattro,30
BMW,535d,30
